Epoch,Step,Loss,Accuracy,Validation Accuracy
2,2030,4.0895,0.1562,10:19:14
2,2040,4.0164,0.0938,07:30:36
2,2050,3.7473,0.0938,03:57:42
2,2060,3.5557,0.1250,00:16:51
2,2070,3.4224,0.1875,08:22:43
2,2080,3.6691,0.1250,03:11:26
2,2090,3.8512,0.1562,01:32:36
2,2100,3.8000,0.2188,04:08:52
2,2110,3.5940,0.2188,01:22:32
2,2120,3.8131,0.1250,00:21:25
2,2130,3.7373,0.2188,11:03:23
2,2140,4.0506,0.1250,02:41:52
2,2150,3.9457,0.1250,03:09:19
2,2160,4.4778,0.0938,08:00:05
2,2170,4.4561,0.0625,07:53:54
2,2180,4.5006,0.0312,10:15:07
2,2190,5.0358,0.0000,05:51:04
2,2200,4.6262,0.0312,10:57:06
2,2210,4.5795,0.0938,02:03:18
2,2220,4.5231,0.0312,03:45:38
2,2230,4.5651,0.0000,05:14:50
2,2240,4.6070,0.0625,04:27:51
2,2250,4.8790,0.0000,04:15:08
2,2260,4.8503,0.0000,01:55:58
2,2270,4.7652,0.0000,09:24:36
2,2280,4.6864,0.0000,05:11:09
2,2290,4.6803,0.0000,02:47:29
2,2300,4.6925,0.0000,02:11:40
2,2310,4.6624,0.0000,08:04:39
2,2320,4.6168,0.0000,09:17:31
2,2330,4.7052,0.0000,08:27:34
2,2340,4.6853,0.0000,02:29:39
2,2350,4.6888,0.0000,23:48:04
2,2360,4.6234,0.0000,21:51:53
Epoch 2, Average Loss: 3.5079, Average Accuracy: 0.2053 (20.53%), Validation Accuracy: 0.0111
3,0,4.5986,0.0000,18:20:57
3,10,4.5615,0.0000,03:27:12
3,20,4.2714,0.0000,06:38:03
3,30,3.8694,0.0625,05:01:30
3,40,3.7188,0.3438,01:30:26
3,50,3.2233,0.5625,01:41:47
3,60,3.0733,0.3125,03:41:47
3,70,3.8111,0.1562,03:35:42
3,80,3.8936,0.1875,02:04:49
3,90,3.6046,0.2188,12:09:59
3,100,3.0508,0.2812,04:45:25
3,110,3.1488,0.1562,10:12:10
3,120,2.9623,0.2188,04:49:44
3,130,2.7464,0.2188,08:55:59
3,140,2.7617,0.3438,00:03:44
3,150,2.5572,0.1875,06:04:59
3,160,2.5484,0.2500,03:12:46
3,170,2.6573,0.3125,02:03:31
3,180,2.8810,0.2188,02:45:15
3,190,2.6281,0.3438,01:28:58
3,200,2.7630,0.1562,04:24:18
3,210,3.0878,0.0000,10:48:00
3,220,2.7024,0.3125,02:18:37
3,230,2.8020,0.2188,05:13:14
3,240,2.4795,0.2500,23:24:57
3,250,2.7532,0.1250,07:56:26
3,260,2.6560,0.3125,04:46:10
3,270,2.8551,0.2812,05:04:49
3,280,2.5068,0.2188,00:26:17
3,290,2.1877,0.4375,01:57:07
3,300,2.4780,0.5000,02:08:35
3,310,2.6867,0.2812,04:09:39
3,320,2.5800,0.1875,04:37:53
3,330,2.6680,0.2500,01:28:41
3,340,2.0457,0.4375,10:18:40
3,350,2.7612,0.2812,01:42:08
3,360,2.6672,0.2812,07:49:30
3,370,2.8004,0.1250,04:14:44
3,380,2.8693,0.1875,12:45:08
3,390,2.2247,0.3125,05:23:42
3,400,2.1889,0.3750,10:30:46
3,410,2.6788,0.2500,04:49:33
3,420,2.2516,0.4062,23:32:04
3,430,2.3989,0.3750,04:14:27
3,440,2.0419,0.3438,07:13:24
3,450,2.1168,0.3750,05:44:35
3,460,2.4494,0.2188,02:58:24
3,470,2.6976,0.3750,05:31:13
3,480,2.3681,0.3125,09:47:19
3,490,2.4439,0.2812,06:55:44
3,500,2.6047,0.3125,01:58:52
3,510,2.5885,0.1250,09:50:44
3,520,2.2706,0.3125,01:26:00
3,530,2.6090,0.1250,09:55:50
3,540,2.7530,0.2500,10:14:41
3,550,2.7509,0.3125,02:53:04
3,560,2.4061,0.3125,04:54:45
3,570,2.4444,0.3125,11:08:04
3,580,1.9755,0.5312,06:15:10
3,590,2.4304,0.4062,11:22:26
3,600,2.8452,0.1562,09:36:33
3,610,2.8751,0.1875,18:00:04
3,620,2.4926,0.2812,05:27:36
3,630,2.6998,0.2500,02:41:44
3,640,2.6058,0.3125,05:21:45
3,650,3.1297,0.0625,05:07:27
3,660,2.6236,0.0938,10:18:35
3,670,2.9203,0.1562,05:35:13
3,680,2.6532,0.3438,11:07:51
3,690,2.5472,0.2188,07:30:22
3,700,2.7099,0.2188,07:24:42
3,710,2.9168,0.2812,09:35:20
3,720,2.9928,0.1562,07:26:38
3,730,2.7190,0.2500,08:01:22
3,740,2.1376,0.3438,04:52:40
3,750,2.1333,0.3750,07:04:21
3,760,2.0353,0.3125,05:34:02
3,770,1.7945,0.5000,06:59:13
3,780,2.3004,0.4062,04:44:55
3,790,2.1919,0.5000,06:49:01
3,800,2.2420,0.5000,03:05:15
3,810,2.6839,0.3125,02:31:19
3,820,2.6014,0.2188,00:26:43
3,830,2.5513,0.2500,01:59:14
3,840,2.8806,0.2500,02:07:30
3,850,2.9057,0.1250,01:27:56
3,860,2.9766,0.1562,02:27:16
3,870,3.2083,0.1250,02:14:33
3,880,3.2014,0.1250,00:41:50
3,890,2.9287,0.2188,00:46:23
3,900,2.5961,0.2812,00:28:13
3,910,2.3625,0.4062,00:03:47
3,920,2.6435,0.3125,00:41:53
3,930,2.5571,0.2188,00:29:41
3,940,3.3082,0.2812,00:53:08
3,950,2.6545,0.2812,02:09:20
3,960,2.7430,0.3125,00:27:27
3,970,2.8110,0.3125,01:52:49
3,980,2.8483,0.2812,02:28:26
3,990,2.9719,0.2188,00:29:11
3,1000,2.9635,0.1875,03:03:51
3,1010,2.6745,0.2500,00:38:47
3,1020,2.5964,0.2188,01:29:16
3,1030,2.8654,0.3438,00:42:23
3,1040,2.7811,0.2500,00:41:44
3,1050,2.5522,0.1875,00:52:57
3,1060,2.6103,0.4062,01:18:53
3,1070,2.4546,0.2500,04:01:10
3,1080,2.5861,0.2500,01:48:13
3,1090,2.6438,0.3750,01:21:21
3,1100,2.7443,0.1875,04:31:42
3,1110,2.7622,0.3125,00:01:51
3,1120,3.5831,0.1875,02:27:56
3,1130,2.9972,0.3438,22:57:00
3,1140,2.5064,0.3750,01:14:34
3,1150,3.2755,0.2188,23:59:59
3,1160,2.9162,0.1250,01:45:01
3,1170,3.0910,0.1875,01:35:28
3,1180,2.3954,0.3750,02:11:10
3,1190,2.6064,0.3125,00:32:52
3,1200,2.6820,0.4062,01:03:28
3,1210,2.6377,0.2500,00:50:16
3,1220,2.1199,0.5000,01:59:17
3,1230,3.0374,0.2188,02:00:13
3,1240,2.9113,0.2188,23:56:22
3,1250,2.9447,0.0625,02:28:05
3,1260,2.2410,0.2188,01:09:46
3,1270,2.8023,0.3125,00:24:08
3,1280,2.7907,0.2188,01:06:06
3,1290,3.3883,0.1562,00:26:31
3,1300,3.3278,0.1875,00:07:14
3,1310,3.2983,0.2188,22:55:11
3,1320,2.9654,0.1562,00:32:59
3,1330,2.7588,0.3125,00:45:21
3,1340,2.5388,0.4062,01:13:37
3,1350,2.5995,0.2188,23:19:01
3,1360,3.1150,0.3750,00:40:56
3,1370,4.1181,0.0625,23:15:31
3,1380,3.1110,0.1562,22:00:48
3,1390,2.7310,0.3125,01:07:43
3,1400,2.5175,0.2188,00:53:49
3,1410,2.9787,0.2188,23:14:32
3,1420,2.4944,0.2812,00:34:45
3,1430,3.1124,0.0625,00:51:53
3,1440,2.9326,0.2188,00:59:54
3,1450,3.0058,0.2188,01:06:23
3,1460,3.1153,0.1562,21:57:49
3,1470,2.8705,0.2812,22:49:44
3,1480,2.8369,0.3750,02:32:54
3,1490,2.6574,0.1562,22:32:04
3,1500,3.3578,0.2188,02:47:23
3,1510,3.3400,0.1562,00:38:44
3,1520,3.3645,0.1875,22:25:43
3,1530,3.2648,0.1875,00:30:30
3,1540,3.4027,0.2188,00:05:56
3,1550,3.5614,0.2500,00:00:41
3,1560,3.3907,0.1562,23:56:13
3,1570,3.0252,0.3438,22:24:15
3,1580,3.0723,0.1875,23:59:23
3,1590,2.8630,0.2500,01:09:03
3,1600,3.1882,0.2188,23:55:10
3,1610,2.3660,0.2500,02:11:36
3,1620,2.7707,0.2812,01:12:15
3,1630,2.2884,0.3750,01:04:12
3,1640,3.3047,0.2188,00:31:01
3,1650,3.2650,0.2500,00:10:21
3,1660,3.6341,0.0938,02:08:48
3,1670,2.3676,0.3125,01:31:32
3,1680,2.5532,0.2188,01:05:59
3,1690,3.0467,0.1250,02:29:24
3,1700,2.1343,0.4375,00:51:33
3,1710,2.5604,0.4062,01:18:52
3,1720,3.1543,0.2500,03:46:55
3,1730,3.0757,0.2500,00:30:14
3,1740,3.1021,0.1875,02:04:53
3,1750,3.1687,0.1562,22:35:28
3,1760,2.7063,0.3750,01:02:49
3,1770,2.4277,0.4375,01:52:07
3,1780,3.1324,0.2812,00:53:15
3,1790,2.6463,0.4375,23:38:19
3,1800,2.7919,0.2500,01:10:27
3,1810,3.9550,0.1875,23:45:34
3,1820,3.8879,0.1875,23:05:00
3,1830,3.8847,0.1562,01:40:59
3,1840,3.4610,0.0938,03:43:26
3,1850,3.2598,0.1562,03:08:16
3,1860,3.2843,0.2500,00:47:10
3,1870,2.7021,0.2500,01:30:57
3,1880,3.1441,0.1875,00:27:36
3,1890,3.1000,0.2188,07:08:47
3,1900,3.4945,0.2500,04:42:32
3,1910,3.0179,0.1875,05:30:57
3,1920,3.0123,0.3438,23:51:52
3,1930,3.2716,0.2812,01:22:28
3,1940,4.1618,0.0312,03:55:12
3,1950,3.1876,0.2500,00:45:39
3,1960,3.2786,0.0625,01:26:15
