Epoch,Step,Loss,Accuracy,Validation Accuracy
3,280,1.9904,0.3750,00:31:54
3,290,2.0880,0.2812,00:14:07
3,300,2.4318,0.4375,00:24:14
3,310,3.4308,0.1562,00:31:32
3,320,2.5330,0.2812,00:24:16
3,330,2.6217,0.1875,00:09:15
3,340,2.4125,0.3438,00:49:16
3,350,2.4792,0.2812,00:14:41
3,360,2.2480,0.2812,00:26:32
3,370,2.1370,0.2188,00:01:31
3,380,2.6019,0.2812,00:20:16
3,390,1.8447,0.4062,00:10:27
3,400,2.2009,0.3438,00:18:39
3,410,2.0097,0.2500,00:31:58
3,420,1.7199,0.4688,00:26:55
3,430,2.7928,0.1562,00:15:06
3,440,2.5194,0.2500,00:04:13
3,450,2.2270,0.4375,00:31:33
3,460,2.3211,0.2188,00:14:40
3,470,2.2411,0.4688,00:08:20
3,480,2.6215,0.2188,23:21:42
3,490,3.3373,0.1562,23:29:32
3,500,2.5935,0.3750,00:37:32
3,510,2.5066,0.2500,02:35:24
3,520,2.7400,0.2188,02:53:02
3,530,2.1980,0.1875,03:14:20
3,540,2.8848,0.2188,03:15:28
3,550,2.0632,0.4375,00:27:41
3,560,2.6993,0.2812,00:21:00
3,570,2.1849,0.3750,23:59:51
3,580,2.5666,0.2812,00:27:16
3,590,2.9517,0.2812,00:05:55
3,600,2.3297,0.3438,00:01:29
3,610,2.6489,0.1875,00:21:39
3,620,2.0796,0.4062,00:38:33
3,630,2.6243,0.2812,00:09:56
3,640,2.5899,0.2500,00:30:41
3,650,2.7143,0.1250,00:24:23
3,660,2.5581,0.1875,00:16:11
3,670,2.6621,0.2188,23:45:40
3,680,2.8341,0.2188,00:41:27
3,690,2.6779,0.2812,01:23:20
3,700,2.5682,0.2812,02:30:01
3,710,3.1003,0.2500,00:06:12
3,720,2.7646,0.2188,00:37:51
3,730,2.5617,0.2812,00:21:10
3,740,2.6634,0.2188,23:04:12
3,750,2.2685,0.2500,23:54:30
3,760,2.0922,0.5000,01:34:14
3,770,2.0989,0.5000,00:18:19
3,780,1.6864,0.5625,00:18:57
3,790,2.0218,0.3125,00:59:02
3,800,2.4507,0.3750,23:40:41
3,810,2.4618,0.2812,23:01:31
3,820,2.4810,0.4375,02:03:38
3,830,2.1387,0.3125,23:03:55
3,840,2.8014,0.2188,22:37:32
3,850,3.7360,0.1562,23:58:43
3,860,2.7044,0.2500,01:21:24
3,870,2.8076,0.2500,02:00:56
3,880,2.8161,0.3125,23:05:56
3,890,2.4184,0.3750,22:40:43
3,900,2.3341,0.3438,00:28:21
3,910,2.8657,0.2188,01:35:14
3,920,2.7874,0.2188,00:09:14
3,930,2.1025,0.3750,23:33:50
3,940,2.4019,0.4062,00:41:53
3,950,2.4206,0.2188,23:02:11
3,960,2.6595,0.2188,00:06:38
3,970,2.8907,0.3438,01:28:49
3,980,2.7309,0.1875,22:51:31
3,990,2.8948,0.1562,22:49:20
3,1000,2.5232,0.2188,23:28:13
